Alias,Role,Hero Pool,Team,Years
Ado,Flex DPS,Genji\Tracer\Mei\Brigitte,@Hangzhou_Spark,2020\2019\2018
Adora,Flex DPS,Tracer\Hanzo\Brigitte\Mei\Reaper\Echo\Genji\Sombra\Torbjorn\Junkrat\Pharah,@Hangzhou_Spark,2020\2019
Agilities,Projectile,Genji\Mei\Doomfist\Echo\Roadhog\Junkrat\Pharah,@TorontoDefiant,
AimGod,Flex Support,Ana\Zenyatta\Moira\Baptiste,@WashJustice,
Alarm,Flex Support,Moira\Ana\Baptiste\Zenyatta\Brigitte,@Fusion,
ALTHOUGH,Projectile,Mei\Echo\Genji\Sombra\Tracer,@Spitfire,
Ameng,Main Tank,Wrecking Ball\Reinhardt\Orisa\Winston,@ChengduHunters,2020\2019
ANAMO,Main Support,Lucio\Brigitte\Baptiste\Mercy,@NYXL,
ANS,Hitscan,Ashe\Widowmaker\McCree\Sombra\Mei\Torbjorn,@SFShock,
Apply,Projectile,Genji\Pharah\Junkrat\Brigette\Echo,@LAValiant,
Architect,Flex DPS,Widowmaker\Genji\Pharah\Bastion\Tracer\Mei\Sombra\Echo\Ana\McCree\Doomfist\Hanzo,@Hangzhou_Spark,2020\2019\2018
ArK,Main Support,Mercy\Lucio\Brigitte\Baptiste,@WashJustice,
ATing,Main Tank,Reinhardt\Winston\Orisa\Wrecking Ball,@ChengduHunters,2020
Axxiom,Main Tank,Reinhardt\Wrecking Ball\Winston,@BostonUprising,
Babel,Hitscan,Sombra\Mei\Ashe\Widowmaker\McCree\Hanzo,@Spitfire,
Baconjack,Hitscan,McCree\Widowmaker\Ashe,@ChengduHunters,2020\2019
Bazzi,Hitscan,Widowmaker\Tracer\McCree\Genji\Doomfist\ Sombra\Mei,@Hangzhou_Spark,2020\2019
Bdosin,Flex Support,Zenyatta\Moira\Baptiste\Ana\Brigitte,@SeoulDynasty,2020\2019\2018
Beast,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball,@TorontoDefiant,
BeBe,Flex Support,Ana\Zenyatta\Sombra,@Hangzhou_Spark,2020\2019
BenBest,Main Tank,Reinhardt\Winston\Orisa,@ParisEternal,
BERNAR,Off Tank,Sigma\D.Va\Zarya\Orisa,@Spitfire,
BiaNcA,Off Tank,D.Va\Zarya\Sigma,@NYXL,
BigG00se,Main Support,Mercy\Lucio\Brigitte\Baptiste\Zenyatta,@LAGladiators,
birdring,Hitscan,Tracer\Ashe\Reaper\McCree\Widowmaker\Sombra\Junkrat\Hanzo\Symmetra\Soldier: 76,@LAGladiators,
Bischu,Off Tank,D.Va\Zarya\Sigma,@LAGladiators,
blasé,Projectile,Doomfist\Genji\McCree\Roadhog\Soldier: 76\Reaper\Sombra\Torbjorn\Mei\Symmetra,@Outlaws,
